ein,Org Name,label,clean,token
521914539,FREDERICK COUNTY ASSOCIATION OF RECREATION COUNCILS CARROLL MANOR POINT OF ROCKS REC,0,frederick county association recreation councils carroll manor point rocks rec,frederick counti associ recreat council carrol manor point rock rec
942941245,ST JOSEPHS FOUNDATION,0,st josephs foundation,st joseph foundat
454799966,LITTLE LEAGUE BASEBALL INC 1220912 SPARTA LL,0,little league baseball inc sparta,littl leagu basebal inc sparta
810584178,HEALTH CENTERS DETROIT FOUNDATION INC,0,health centers detroit foundation inc,health center detroit foundat inc
471471057,MONTESSORI ELEMENTARY SCHOOL LLC,0,montessori elementary school llc,montessori elementari school llc
630851067,WESLEY APARTMENTS A METHODIST HOME FOR THE AGING INC,0,wesley apartments methodist home aging inc,wesley apart methodist home age inc
455467123,SAN DIEGO COLLABORATIVE ARTS PROJECT,0,san diego collaborative arts project,san diego collabor art project
205425332,PULSE OUTREACH,0,pulse outreach,puls outreach
43425772,FAIR HOUSING CENTER OF GREATER BOSTON INC,0,fair housing center greater boston inc,fair hous center greater boston inc
20584196,POWER U CENTER FOR SOCIAL CHANGE INC,0,power u center social change inc,power u center social chang inc
135562424,ORT AMERICA INC,0,ort america inc,ort america inc
454493244,EDEN PRAIRIE SOCCER ASSOCIATION,0,eden prairie soccer association,eden prairi soccer associ
474721540,HOPES CLOSET INC,0,hopes closet inc,hope closet inc
461490504,EXPLODE IN FUNDAMENTALS,0,explode fundamentals,explod fundament
222805597,CHADWICK RESIDENCE INCORPORATED,0,chadwick residence incorporated,chadwick resid incorpor
953541145,PRESCHOOL LEARNING FOR AVALON YOUTH INC,0,preschool learning avalon youth inc,preschool learn avalon youth inc
311740436,VIRGINIA BIOSCIENCES DEVELOPMENT CENTER INC,0,virginia biosciences development center inc,virginia bioscienc develop center inc
60665191,CHILDCARE LEARNING CENTERS INC,0,childcare learning centers inc,childcar learn center inc
640740769,CLARKSDALE COAHOMA COUNTY MINISTRIES INC,0,clarksdale coahoma county ministries inc,clarksdal coahoma counti ministri inc
541549104,WYTHE ARTS COUNCIL LTD,0,wythe arts council ltd,wyth art council ltd
203848597,MOWREY PTO,0,mowrey pto,mowrey pto
436000404,BROOKES BIBLE INSTITUTE,0,brookes bible institute,brook bibl institut
262925141,KINGSVILLE R-1 GRADE & HIGH SCHOOL PARENT-TEACHER ORGANIZATION,0,kingsville r grade high school parent teacher organization,kingsvil r grade high school parent teacher organ
410746994,ARC MINNESOTA MOWER COUNTY,0,arc minnesota mower county,arc minnesota mower counti
223794408,ELWOOD VOLUNTEER FIRE RESCUE COMPANY,0,elwood volunteer fire rescue company,elwood volunt fire rescu compani
460745168,ROCK ISLAND JR ROCKS BASEBALL ORGANIZATION,0,rock island jr rocks baseball organization,rock island jr rock basebal organ
576027768,SOUTH CAROLINA ASSOCIATION OF YOUNG FARMERS OF AMERICA,0,south carolina association young farmers america,south carolina associ young farmer america
263239003,FAMILY PROMISE OF LYCOMING COUNTY INCORPORATED,0,family promise lycoming county incorporated,famili promis lycom counti incorpor
473325868,LOUISIANA DIRECTORS OF MISSIONS FELLOWSHIP INC,0,louisiana directors missions fellowship inc,louisiana director mission fellowship inc
943059287,THE STELLAR ACADEMY FOR DYSLEXICS,0,stellar academy dyslexics,stellar academi dyslex
311446324,ALTERNATIVE SERVICES NORTHEAST INC,0,alternative services northeast inc,altern servic northeast inc
911398031,VETERANS INDEPENDENT ENTERPRISES OF WASHINGTON,0,veterans independent enterprises washington,veteran independ enterpris washington
611485785,NAVIGATOR POINTE ACADEMY,0,navigator pointe academy,navig point academi
861101906,FOYS TO BLACKTAIL TRAILS INC,0,foys blacktail trails inc,foy blacktail trail inc
341808652,YOUTH WITH A PURPOSE BOYS HOME INC,0,youth purpose boys home inc,youth purpos boy home inc
204696543,LOCAL FIRST EDUCATIONAL FOUNDATION,0,local first educational foundation,local first educ foundat
752605699,HARRISON COUNTY COMMUNITY HEALTH CARE FOUNDATION,0,harrison county community health care foundation,harrison counti commun health care foundat
582345439,CENTRAL GEORGIA SENIOR HEALTH INC,0,central georgia senior health inc,central georgia senior health inc
582499934,LARRY WILLIAMS MINISTRIES,0,larry williams ministries,larri william ministri
412240509,CHELSEA EDUCATION FOUNDATION INC CEF,0,chelsea education foundation inc cef,chelsea educ foundat inc cef
860790910,STEP UP SCHOOLS INC,0,step schools inc,step school inc
271340405,PALOS POWER SOFTBALL,0,palos power softball,palo power softbal
731388752,NEW LIFE CHILDRENS HOME INC,0,new life childrens home inc,new life children home inc
30276780,CATAMOUNT FILM AND ARTS CO,0,catamount film arts co,catamount film art co
521592616,NORTH JERSEY AIDS ALLIANCE INC,0,north jersey aids alliance inc,north jersey aid allianc inc
232102523,HERSHEY FIGURE SKATING CLUB,0,hershey figure skating club,hershey figur skate club
202055396,NORTH CAROLINAS NORTHEAST ALLIANCE INC,0,north carolinas northeast alliance inc,north carolina northeast allianc inc
364009258,DAMIEN HOUSE INC,0,damien house inc,damien hous inc
841149337,FRANCISCAN COMMUNITY COUNSELING INC,0,franciscan community counseling inc,franciscan commun counsel inc
452790467,FALUN DAFA ASSOCIATION OF HAWAII,0,falun dafa association hawaii,falun dafa associ hawaii
223160786,OLD TOWN ORONO YMCA FOUNDATION,0,old town orono ymca foundation,old town orono ymca foundat
396067949,ASCENSION ENDOWMENT FUND INC,0,ascension endowment fund inc,ascens endow fund inc
391867005,FRIENDS OF WISCONSIN PRESERVATION FUND INC,0,friends wisconsin preservation fund inc,friend wisconsin preserv fund inc
556025665,MARSHALL EVANS ENDOWMENT FUND,0,marshall evans endowment fund,marshal evan endow fund
770587714,SALINAS VALLEY FAIR HERITAGE FOUNDATION INC,0,salinas valley fair heritage foundation inc,salina valley fair heritag foundat inc
300492588,LAS VEGAS POLICE PROTECTIVE ASSOC METRO CHARITIES,0,las vegas police protective assoc metro charities,la vega polic protect assoc metro chariti
134213954,TERRYVILLE SOCCER CLUB ASSOCIATION INC,0,terryville soccer club association inc,terryvil soccer club associ inc
61785341,EVANGELINE BOOTH RESIDENCE INC,0,evangeline booth residence inc,evangelin booth resid inc
43390243,RBPA SCHOLARSHIP FUND INC,0,rbpa scholarship fund inc,rbpa scholarship fund inc
931078791,HABITAT FOR HUMANITY INTERNATIONAL INC WEST TUALITY HFH,0,habitat humanity international inc west tuality hfh,habitat human intern inc west tualiti hfh
391590777,SHEBOYGAN YOUTH FOOTBALL INC,0,sheboygan youth football inc,sheboygan youth footbal inc
43319019,B H S SPORTS FOUNDATION INC,0,b h sports foundation inc,b h sport foundat inc
752601401,ROUNDUP COWBOYS ASSOCIATION,0,roundup cowboys association,roundup cowboy associ
455340643,FORGOTTEN ANGELS EQUINE RESCUE DARLENE SUPNICK SOLE MBR,0,forgotten angels equine rescue darlene supnick sole mbr,forgotten angel equin rescu darlen supnick sole mbr
753157416,PLYMOUTH CANTON CRUISERS,0,plymouth canton cruisers,plymouth canton cruiser
330681306,LIVING WATER MISSION CHURCH,0,living water mission church,live water mission church
208381986,CMMS DESHAE LOTT MINISTRIES INC,0,cmms deshae lott ministries inc,cmm desha lott ministri inc
205419254,ESCUETA CARE HOME 3 INC,0,escueta care home inc,escueta care home inc
912074470,PROVIDING UNADOPTABLES WITH RESCUE REHABILITATION AND RESIDENCE PURRR,0,providing unadoptables rescue rehabilitation residence purrr,provid unadopt rescu rehabilit resid purrr
680048766,CONSUMER CREDIT COUNSELING SERVICE OF THE NORTH COAST,0,consumer credit counseling service north coast,consum credit counsel servic north coast
432009763,VIRGINIA HORTICULTURAL FOUNDATION,0,virginia horticultural foundation,virginia horticultur foundat
636117915,THE COVINGTON MEMORIAL FOUNDATION FOR THE GEORGE S HOUSTON LIBRARY O,0,covington memorial foundation george houston library,covington memori foundat georg houston librari
20261136,MOORE CENTER SERVICES INC,0,moore center services inc,moor center servic inc
275382923,LOUD AND CLEAR,0,loud clear,loud clear
223869538,EL DORADO PRIDE FOUNDATION INC,0,el dorado pride foundation inc,el dorado pride foundat inc
454680763,CHAD HAYNES SCHOLARSHIP FUND,0,chad haynes scholarship fund,chad hayn scholarship fund
237010405,MONTANA SHERIFFS AND PEACE OFFICERS ASSOCIATION C O TONY HARBAUGH,0,montana sheriffs peace officers association c tony harbaugh,montana sheriff peac offic associ c toni harbaugh
526036185,PHI GAMMA DELTA EDUCATIONAL FOUNDATION,0,phi gamma delta educational foundation,phi gamma delta educ foundat
264185895,TWIN CITIES INTERNATIONAL FILM FESTIVAL,0,twin cities international film festival,twin citi intern film festiv
820496890,INTERMOUNTAIN WEST ALLERGY ASSOCIATION,0,intermountain west allergy association,intermountain west allergi associ
930880302,LITTLE LEAGUE BASEBALL INC 4370217 REYNOLDS LL,0,little league baseball inc reynolds,littl leagu basebal inc reynold
610967159,AGAPE UNLIMITED INC,0,agape unlimited inc,agap unlimit inc
134212335,GEORGIA STARS BASKETBALL INC,0,georgia stars basketball inc,georgia star basketbal inc
570891412,AIKEN PREGNANCY CARE CENTER INC,0,aiken pregnancy care center inc,aiken pregnanc care center inc
650768636,DANIEL M FOUNDATION INC CAMP HOLIDAY,0,daniel foundation inc camp holiday,daniel foundat inc camp holiday
50258811,NORTHWEST COMMUNITY HEALTH CARE,0,northwest community health care,northwest commun health care
205874921,CESAR E CHAVEZ LEADERSHIPCONFERENCE,0,cesar e chavez leadershipconference,cesar e chavez leadershipconfer
841545575,AURORA CHAMBER FOUNDATION INC,0,aurora chamber foundation inc,aurora chamber foundat inc
421605812,TOMORROWS RAINBOW INC,0,tomorrows rainbow inc,tomorrow rainbow inc
471351958,ROTARY CLUB OF KERRVILLE COMMUNITY SERVICE FUND,0,rotary club kerrville community service fund,rotari club kerrvil commun servic fund
550738313,CHESTER VOLUNTEER FIREMENS ASSOCIATION,0,chester volunteer firemens association,chester volunt firemen associ
112680890,EAST BROOKLYN DISTRICT MANAGEMENT ASSOCIATION INC,0,east brooklyn district management association inc,east brooklyn district manag associ inc
203324885,LUCKY DUCK FOUNDATION,0,lucky duck foundation,lucki duck foundat
210624256,AMERICAN LEGION 294 EDEN STANLEY INC,0,american legion eden stanley inc,american legion eden stanley inc
461871668,COMMUNITY ALLIANCE OF SEVENTH AVENUE,0,community alliance seventh avenue,commun allianc seventh avenu
311428403,INTERNATIONAL BUSINESS INNOVATION ASSOCIATION INC,0,international business innovation association inc,intern busi innov associ inc
135600383,BIG BROTHERS AND BIG SISTERS OF NEW YORK CITY INC,0,big brothers big sisters new york city inc,big brother big sister new york citi inc
200599416,CALIFORNIA CRICKET ACADEMY,0,california cricket academy,california cricket academi
362771343,KA SERVICES INC,0,ka services inc,ka servic inc
270537248,WASHINGTON BEAUFORT COUNTY CHAMBER OF COMMERCE COMMUNITY FOUN WASHINGTON BEAUFORT COUNTY CHAMBER,0,washington beaufort county chamber commerce community foun washington beaufort county chamber,washington beaufort counti chamber commerc commun foun washington beaufort counti chamber
953310490,CALIFORNIA HIGH SCHOOL RODEO ASSOCIATION INC,0,california high school rodeo association inc,california high school rodeo associ inc
582015657,QLS HAVEN LTD,0,qls ltd,ql ltd
770512712,MARIPOSA MONTESSORI SCHOOL,0,mariposa montessori school,mariposa montessori school
920157359,ELDER SERVICES INC,0,elder services inc,elder servic inc
432008060,CASA OF LEA COUNTY,0,casa lea county,casa lea counti
200884771,PETERS GROUP FOUNDATION,0,peters group foundation,peter group foundat
113039736,ACHEINU INC,0,acheinu inc,acheinu inc
461463274,STOCKTON POLICE FOUNDATION,0,stockton police foundation,stockton polic foundat
640740729,LAUREL SCHOOL DISTRICT EDUCATION FOUNDATION TRUST INC,0,laurel school district education foundation trust inc,laurel school district educ foundat trust inc
474382124,NATIONAL COUNCIL FOR STATE AUTHORIZATION RECIPROCITY AGREEMEN,0,national council state authorization reciprocity agreemen,nation council state author reciproc agreemen
270091002,ACE MENTOR PROGRAM OF AMERICA INC ACE MENTOR SAN FRANCISCO BAY AREA I,0,ace mentor program america inc ace mentor san francisco bay area,ace mentor program america inc ace mentor san francisco bay area
270381657,LAWRENCEBURG CONSERVANCY DISTRICT COMMUNITY ATHLETIC PARK INC,0,lawrenceburg conservancy district community athletic park inc,lawrenceburg conserv district commun athlet park inc
920039475,NOME COMMUNITY CENTER INC,0,nome community center inc,nome commun center inc
800406964,COMPASSIONATE CHRISTLIKE MINISTRY,0,compassionate christlike ministry,compassion christlik ministri
200866361,ELK GROVE HIGH SCHOOL BAND BOOSTERS,0,elk grove high school band boosters,elk grove high school band booster
273957581,AYERSFOUNDATION,0,ayersfoundation,ayersfound
582624556,NEW HOPE INTERNATIONAL OUTREACH MINISTRIES INC,0,new hope international outreach ministries inc,new hope intern outreach ministri inc
720442226,THE WELLSPRING ALLIANCE FOR FAMILIES INC,0,wellspring alliance families inc,wellspr allianc famili inc
943255817,KRISTI YAMAGUCHI ALWAYS DREAM FOUNDATION,0,kristi yamaguchi always dream foundation,kristi yamaguchi alway dream foundat
237216197,JAMAICA HOSPITAL NURSING HOME INC,0,jamaica hospital nursing home inc,jamaica hospit nurs home inc
431340489,BONNE TERRE HELPING HAND MINISTRIES,0,bonne terre helping hand ministries,bonn terr help hand ministri
464012011,BOCA RATON AQUATICS INC,0,boca raton aquatics inc,boca raton aquat inc
454871354,TIME TO BLOSSOM INC,0,time blossom inc,time blossom inc
150613806,SOUTHERN TIER ECONOMIC PARTNERSHIP INC,0,southern tier economic partnership inc,southern tier econom partnership inc
223484652,SHARRON MILLERS ACADEMY FOR THE PERFORMING ARTS INC,0,sharron millers academy performing arts inc,sharron miller academi perform art inc
205118947,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,0,achievement first bushwick charter school,achiev first bushwick charter school
350449569,KOSCIUSKO COUNTY COMMUNITY FAIR INC,0,kosciusko county community fair inc,kosciusko counti commun fair inc
462485439,GLENCOE COMMUNITY FOUNDATION,0,glencoe community foundation,glenco commun foundat
770425628,NORTH PARK APARTMENTS HOUSING CORPORATION,0,north park apartments housing corporation,north park apart hous corpor
611246069,ROWAN COUNTY CHRISTMAS INC,0,rowan county christmas inc,rowan counti christma inc
464561294,MVL VLM INC,0,mvl vlm inc,mvl vlm inc
461948559,NORTHWEST GEORGIA EMS SYSTEMS INC,0,northwest georgia ems systems inc,northwest georgia em system inc
391801006,STANDING CEDARS COMMUNITY LAND CONSERVANCY INC,0,standing cedars community land conservancy inc,stand cedar commun land conserv inc
300253124,SUTPHIN BOULEVARD DISTRICT MANAGEMENT ASSOCIATION INC,0,sutphin boulevard district management association inc,sutphin boulevard district manag associ inc
911609811,WORLD OUTREACH MINISTRIES FOUNDATION,0,world outreach ministries foundation,world outreach ministri foundat
522196534,W R TORRES FOUNDATION FOR THE BLIND,0,w r torres foundation blind,w r torr foundat blind
591622670,SAINT ANDREWS SCHOOL ENDOWMENT FUND INC,0,saint andrews school endowment fund inc,saint andrew school endow fund inc
231861343,HOUSING DEVELOPMENT CORPORATION MIDATLANTIC,0,housing development corporation midatlantic,hous develop corpor midatlant
204315700,BRUCE KAYE BRAIN TUMOR FOUNDATIONINC,0,bruce kaye brain tumor foundationinc,bruce kay brain tumor foundationinc
741340188,SAN ANTONIO COUNCIL ON ALCOHOL AND DRUG ABUSE,0,san antonio council alcohol drug abuse,san antonio council alcohol drug abus
593551080,LITERACY TRUST INC,0,literacy trust inc,literaci trust inc
351534981,POLICE ATHLETIC LEAGUE OF INDIANAPOLIS INC,0,police athletic league indianapolis inc,polic athlet leagu indianapoli inc
341737689,JOHNNY APPLESEED BASEBALL CLUB,0,johnny appleseed baseball club,johnni applese basebal club
270222812,MVATR FOUNDATION A NONPROFIT CORPORATION,0,mvatr foundation nonprofit corporation,mvatr foundat nonprofit corpor
810553221,WISHES AND RAINBOWS,0,wishes rainbows,wish rainbow
581529360,GOLDEN FLEECE FOUNDATION INC,0,golden fleece foundation inc,golden fleec foundat inc
453736436,OHIO CYCLEWORKS CHARITIES INC,0,ohio cycleworks charities inc,ohio cyclework chariti inc
270843597,GET CHECK OR CHECK OUT,0,get check check,get check check
421012435,ZION RECOVERY SERVICES INC,0,zion recovery services inc,zion recoveri servic inc
460976375,CENTER FOR WELLNESS AND EDUCATION INC,0,center wellness education inc,center well educ inc
133224096,LITERACY SOLUTIONS NY INC LVA WESTCHESTER COUNTY,0,literacy solutions ny inc lva westchester county,literaci solut ny inc lva westchest counti
951190333,EBELL SOCIETY OF THE SANTA ANA VALLEY,0,ebell society santa ana valley,ebel societi santa ana valley
371060364,SUNRISE PRESCHOOL AND CHILD CARE CENTER,0,sunrise preschool child care center,sunris preschool child care center
371270794,HEARTLAND COMMUNITY HEALTH CLINIC,0,heartland community health clinic,heartland commun health clinic
134078893,KENNETH GLADSTONE BUILDING HOUSING DEVELOPMENT FUND COMPANY,0,kenneth gladstone building housing development fund company,kenneth gladston build hous develop fund compani
471402327,MEDAL OF HONOR BOWL,0,medal honor bowl,medal honor bowl
61079874,JEWISH COMMUNITY ENDOWMENT FOUNDATION OF STAMFORD INC,0,jewish community endowment foundation stamford inc,jewish commun endow foundat stamford inc
351875622,LITTLE LEAGUE BASEBALL INC 1140904 HARRY BRIDGES LL,0,little league baseball inc harry bridges,littl leagu basebal inc harri bridg
364337711,CHRISTIAN HEALTH CARE OF REPUBLIC INC,0,christian health care republic inc,christian health care republ inc
43041642,MASSACHUSETTS ASSOCIATION OF CONSERVATION DISTRICTS,0,massachusetts association conservation districts,massachusett associ conserv district
586212478,GEORGIA HEALTHY FAMILY ALLIANCE INC,0,georgia healthy family alliance inc,georgia healthi famili allianc inc
264822611,KNOVA LEARNING OREGON,0,knova learning oregon,knova learn oregon
42875899,CARITAS COMMUNITIES INC,0,caritas communities inc,carita commun inc
581439813,WILMINGTON CONCERT ASSOCIATION OF WILMINGTON NC,0,wilmington concert association wilmington nc,wilmington concert associ wilmington nc
366116508,PRINCETON CLUB OF CHICAGO,0,princeton club chicago,princeton club chicago
311650234,VIRGINIA CONGRESS OF PARENTS AND TEACHERS BULL RUN ELEMENTARY SCHOOL PTA,0,virginia congress parents teachers bull run elementary school pta,virginia congress parent teacher bull run elementari school pta
237272194,MINNESOTA YOUTH SYMPHONIES,0,minnesota youth symphonies,minnesota youth symphoni
954111291,LOYOLA VILLAGE BOOSTER CLUB,0,loyola village booster club,loyola villag booster club
742483139,ASPENFILM,0,aspenfilm,aspenfilm
237048853,THE WATERBURY CHORALE INC WATERBURY CHORALE INC,0,waterbury chorale inc waterbury chorale inc,waterburi choral inc waterburi choral inc
751291336,BETHEL CHILDRENS DAY CARE CENTER,0,bethel childrens day care center,bethel children day care center
510194479,TAYLOR METHODIST HOUSING INC,0,taylor methodist housing inc,taylor methodist hous inc
593828176,TREE CARE INDUSTRY ASSOCIATION FOUNDATION INC,0,tree care industry association foundation inc,tree care industri associ foundat inc
431616305,GROVESPRING AREA VOLUNTARY FIRE PROTECTION ASSOCIATION,0,grovespring area voluntary fire protection association,grovespr area voluntari fire protect associ
132954127,NATIONAL RECYCLING COALITION INC,0,national recycling coalition inc,nation recycl coalit inc
352145743,STEP UP INCORPORATED,0,step incorporated,step incorpor
43470631,DORCHESTER YOUTH ALTERNATIVE ACADEMY INC,0,dorchester youth alternative academy inc,dorchest youth altern academi inc
